model,rmse,mae,mape,order,changepoint_prior_scale,seasonality_mode,learning_rate,epochs,n_lags
Prophet_cps0.05_mul,126295.6472796537,74140.41008209797,13.326023545511264,,0.05,multiplicative,,,
NP_lr0.01_ep100_lag72,130224.13225211017,81088.09865958239,14.194837496955998,,,,0.01,100.0,72.0
NP_lr0.01_ep50_lag24,132569.331140066,74613.01375713812,12.864803408112401,,,,0.01,50.0,24.0
NP_lr0.001_ep80_lag48,142441.73730618227,87552.29040637537,14.642350933859557,,,,0.001,80.0,48.0
Prophet_cps0.5_add,170316.69887372767,117361.01502374584,18.132831840315948,,0.5,additive,,,
Prophet_cps0.05_add,181788.97673356193,127321.43958593042,18.901577660557717,,0.05,additive,,,
"ARIMA(1,1,1)",460016.95951977436,404683.0491824526,53.10090988948317,"(1, 1, 1)",,,,,
"ARIMA(2,1,2)",468126.9170658008,413591.6382676475,54.49014279402255,"(2, 1, 2)",,,,,
"ARIMA(3,1,1)",469306.16457527597,414881.18532534904,54.69089919330822,"(3, 1, 1)",,,,,
